image_id,condition,filename,source_url,description
dmso_1,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (1) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_11,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (11) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_12,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (12) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_13,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (13) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_14,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (14) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_15,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (15) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_16,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (16) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_17,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (17) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_18,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (18) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_19,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (19) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_2,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (2) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_20,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (20) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_21,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (21) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_22,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (22) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_23,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (23) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_24,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (24) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_25,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (25) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_26,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (26) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
